Date,Open,High,Low,Close,Adj Close,Volume
1/22/2020,9179.5,9254,9174.25,9195.75,9195.75,532160
1/23/2020,9190,9253.5,9151.75,9248.25,9248.25,519015
1/24/2020,9252,9287.25,9109.5,9144.5,9144.5,616950
1/26/2020,9077,9077,8994,9004.5,9004.5,875259
1/27/2020,9077,9077,8925.5,8954.5,8954.5,758796
1/28/2020,8952.5,9136.25,8952.5,9105.25,9105.25,792705
1/29/2020,9119.5,9158.75,9072.25,9098.5,9098.5,632550
1/30/2020,9111.25,9240,9003.5,9216.25,9216.25,578408
1/31/2020,9226.5,9248.75,8966,8997.75,8997.75,846585
2/2/2020,8982.75,9038.25,8975,9029.5,9029.5,459823
2/3/2020,8982.75,9155.75,8975,9114.25,9114.25,898384
2/4/2020,9099,9369.25,9073,9355,9355,680726
2/5/2020,9357,9462.75,9317.75,9381.5,9381.5,563913
2/6/2020,9390,9464,9362.5,9455.5,9455.5,729548
2/7/2020,9467,9471,9385,9409.5,9409.5,545054
2/9/2020,9401.5,9424,9330.75,9353.25,9353.25,338030
2/10/2020,9401.5,9531.5,9330.75,9527.5,9527.5,592695
2/11/2020,9525,9609.5,9501.25,9527.25,9527.25,500147
2/12/2020,9536.25,9628.25,9523.75,9625.75,9625.75,589570
2/13/2020,9621.5,9644.75,9511.25,9613,9613,454472
2/14/2020,9626.25,9659.25,9588,9632.25,9632.25,613580
2/16/2020,9635,9668.75,9634.25,9663.75,9663.75,297278
2/18/2020,9635,9687.5,9534.25,9636,9636,489387
2/19/2020,9643.25,9748.75,9641.25,9733.5,9733.5,668505
2/20/2020,9744.75,9763,9517,9624.25,9624.25,419130
2/21/2020,9617.25,9623.75,9411.5,9458,9458,802424
2/23/2020,9355.25,9365,9289,9315,9315,995989
2/24/2020,9355.25,9365,9041.25,9091,9091,911839
2/25/2020,9091,9224.25,8810,8854.25,8854.25,1171879
2/26/2020,8868.25,9037.5,8709.5,8850.25,8850.25,1344897
2/27/2020,8811.5,8878.5,8374.5,8850.25,8850.25,1550066
2/28/2020,8347,8574.75,8126.25,8382.75,8382.75,1506884
3/1/2020,8347,8574.75,8126.25,8382.75,8382.75,1513887
3/2/2020,8349.25,8883.25,8224.25,8454,8454,1338786
3/3/2020,8830.5,9002.5,8511,8791.25,8791.25,1277458
3/4/2020,8557.5,8950,8508.25,8582.5,8582.5,924629
3/5/2020,8889,8899.75,8610.75,8896.5,8896.5,943408
3/6/2020,8677,8726.5,8310.5,8648.75,8648.75,1083638
3/8/2020,8677,8726.5,8310.5,8648.75,8648.75,1086560
3/9/2020,8369,8375,7819,8503.25,8503.25,545428
3/10/2020,7893.75,8378.75,7814.25,7951.5,7951.5,967814
3/11/2020,8317,8334.25,7892.75,8331.5,8331.5,976682
3/12/2020,7998.75,8108,7128.5,8003.5,8003.5,861265
3/13/2020,7100,7978,6942.5,7215.25,7215.25,570212
3/15/2020,7100,7978,6942.5,7215.25,7215.25,578813
3/16/2020,7919.75,7920,6906,7900.75,7900.75,416627
3/17/2020,7294.25,7551.25,6931.25,7182.75,7182.75,154561400
3/18/2020,7343.25,7380,6810,7392.25,7392.25,502686
3/19/2020,7234.25,7502.5,6874.25,7205.5,7205.5,509651
3/20/2020,7177,7629,6952,7273.5,7273.5,554317
3/22/2020,6798,6798,6628.75,6688.75,6688.75,321230
3/23/2020,6733.5,7316.25,6666,7085.25,7085.25,222847705
3/24/2020,7156.25,7634,7132.25,7484.5,7484.5,186762087
3/25/2020,7435.25,7761,7371.5,7462,7462,242979235
3/26/2020,7445.5,7893.5,7310.25,7856,7856,196928629
3/27/2020,7767.75,7806.75,7551.25,7561,7561,155867209
3/29/2020,7395.75,7507.25,7367.25,7489.25,7489.25,1256384
3/30/2020,7547,7885,7492,7871.25,7871.25,165079683
3/31/2020,7881.25,7995,7705,7720,7720,152926788
4/1/2020,7692.75,7694.5,7404.25,7498,7498,158305604
4/2/2020,7525.5,7656.25,7376,7587.25,7587.25,160830424
4/3/2020,7560.25,7660.25,7423.5,7522,7522,125484933
4/5/2020,null,null,null,null,null,null
4/6/2020,7789.75,8099,7750,8075.25,8075.25,164979484
4/7/2020,8034.25,8303.25,7948,8029.75,8029.75,525510
4/8/2020,8042,8242,7981,8231.75,8231.75,164021285
4/9/2020,8168,8326.25,8101.75,8238.75,8238.75,190921520
4/12/2020,8296,8327.5,8073.25,8115.75,8115.75,1224003
4/13/2020,8109,8373.5,8091,8362.5,8362.5,134277446
4/14/2020,8448.75,8708,8415.25,8675.25,8675.25,157345858
4/15/2020,8655.25,8681.75,8486.5,8532.75,8532.75,159285002
4/16/2020,8539,8966.75,8539,8926.25,8926.25,192049231
4/17/2020,8915.75,8952.5,8689.5,8812,8812,201638423
4/19/2020,8747.5,8763.75,8733,8744.25,8744.25,582500
4/20/2020,8817,8846,8687,8721.75,8721.75,166372961
4/21/2020,8647.25,8709.25,8342,8445,8445,226945058
4/22/2020,8447,8700,8400,8431.75,8431.75,368770
4/23/2020,8598.5,8786.5,8532,8551,8551,157192323
4/24/2020,8535.75,8780.25,8505,8763.75,8763.75,141646451
4/26/2020,8760.75,8770,8730,8747,8747,556167
4/27/2020,8836.75,8898,8789,8819.75,8819.75,139152562
4/28/2020,8795.5,8945.75,8654.5,8764.25,8764.25,157506137
4/29/2020,8759.25,9041,8733.75,8719.75,8719.75,417522
4/30/2020,9109.5,9144.75,8875.75,9036.5,9036.5,448803
5/1/2020,8847,8879,8672,8988.5,8988.5,403881
5/3/2020,8624,8642.25,8562,8579.5,8579.5,955357
5/4/2020,8624,8828,8556.25,8718,8718,376472
5/5/2020,8843.5,9020,8822.25,8956,8956,138527264
5/6/2020,8929.25,9056.5,8916,8961.25,8961.25,160386979
5/7/2020,9022.75,9137.5,9004,9117,9117,150146947
5/8/2020,9208,9238,9119,9222.5,9222.5,147616823
5/10/2020,9194.75,9257.25,9174.75,9249,9249,673663
5/11/2020,9274.25,9339,9118.5,9271.75,9271.75,164856701
5/12/2020,9253.25,9341.25,9008,9012.75,9012.75,182119666
5/13/2020,9086.5,9202.75,8878.25,9015.75,9015.75,252786223
5/14/2020,9000.25,9107.5,8847,9099.75,9099.75,241955317
5/15/2020,9095.5,9148.5,8925.5,9117.5,9117.5,201546625
5/17/2020,9135,9179,9110.25,9171.75,9171.75,596131
5/18/2020,9195.5,9361.5,9175,9332,9332,158602322
5/19/2020,9313.25,9417.25,9273,9317.25,9317.25,155396633
5/20/2020,9343.25,9503.25,9322,9483.75,9483.75,139781919
5/21/2020,9444.25,9510.75,9348.25,9397.75,9397.75,156958095
5/22/2020,9301,9422.5,9241.5,9421.5,9421.5,159733330
5/24/2020,9448,9457.5,9438.75,9456,9456,253197
5/25/2020,9444.25,9536.5,9443.25,9515.25,9515.25,47485705
5/26/2020,9568.5,9604,9373,9395,9395,238787861
5/27/2020,9481.5,9508,9173.5,9430.75,9430.75,216918776
5/28/2020,9380.75,9565.5,9320.75,9420.75,9420.75,199546130
5/29/2020,9435,9590.5,9372,9586.75,9586.75,182769572
5/31/2020,9513,9524.5,9450.25,9498,9498,952938
6/1/2020,9544.25,9605.75,9481.25,9564.75,9564.75,157694212
6/2/2020,9577.5,9676.5,9504.75,9665,9665,151827908
6/3/2020,9665,9728.25,9640.75,9701.25,9701.25,150449930
6/4/2020,9666,9742.5,9572.25,9621.25,9621.25,169338663
6/5/2020,9656,9846.25,9601.75,9807.75,9807.75,188606099
6/7/2020,9819,9875,9808.25,9871.25,9871.25,576941
6/8/2020,9839.5,9901,9747,9878.5,9878.5,159567316
6/9/2020,9884.75,10005.25,9811.5,9984,9984,163787634
6/10/2020,10009,10155.5,9958.5,10049.25,10049.25,177911041
